pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_insol,pl_masse,pl_msinie,pl_rade,pl_radj,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_facility
Kepler-139,c,Transit,2,157.07287800,0.586000,,,1,0,18h49m34.07s,+43d53m21.7s,282.391957,43.889351,417.00,12.701,Kepler-band,12.677,5594.00,,1.30,0,,,,,3.380,0.302,,0.3549000,0.8300,2014,3,395.45,,4.25,,,Kepler
Kepler-140,c,Transit,2,91.35328200,0.414000,,,1,0,19h09m28.67s,+46d46m05.6s,287.369468,46.768213,572.00,12.996,Kepler-band,12.941,6077.00,,1.29,0,,,,,1.800,0.161,,0.3300000,0.1300,2014,3,593.80,,4.27,,,Kepler
Kepler-141,b,Transit,2,3.10767500,0.039000,,,1,0,19h51m53.02s,+47d43m54.0s,297.970897,47.731678,301.00,13.448,Kepler-band,13.421,4910.00,,0.79,0,,,,,0.690,0.062,,0.0924000,0.5400,2014,3,303.83,,4.57,,,Kepler
Kepler-141,c,Transit,2,7.01060600,0.067000,,,1,0,19h51m53.02s,+47d43m54.0s,297.970897,47.731678,301.00,13.448,Kepler-band,13.421,4910.00,,0.79,0,,,,,1.410,0.126,,0.1244000,0.3100,2014,3,303.83,,4.57,,,Kepler
Kepler-142,c,Transit,3,4.76170200,0.057000,,,1,0,19h40m28.54s,+48d28m52.6s,295.118899,48.481281,583.00,13.203,Kepler-band,13.197,5790.00,,1.27,0,,,,,2.860,0.255,,0.1376000,0.3700,2014,3,557.51,,4.26,,,Kepler
Kepler-142,d,Transit,3,41.80911800,0.242000,,,1,0,19h40m28.54s,+48d28m52.6s,295.118899,48.481281,583.00,13.203,Kepler-band,13.197,5790.00,,1.27,0,,,,,2.160,0.193,,0.3620000,0.9400,2014,3,557.51,,4.26,,,Kepler
Kepler-143,b,Transit,2,16.00758300,0.127000,,,1,0,19h52m16.25s,+49d24m45.4s,298.067706,49.412605,746.00,13.770,Kepler-band,13.706,5848.00,,1.36,0,,,,,2.410,0.215,,0.0472000,0.7900,2014,3,828.71,,4.20,,,Kepler
Kepler-143,c,Transit,2,27.08251100,0.181000,,,1,0,19h52m16.25s,+49d24m45.4s,298.067706,49.412605,746.00,13.770,Kepler-band,13.706,5848.00,,1.36,0,,,,,3.370,0.301,,0.2126000,0.8900,2014,3,828.71,,4.20,,,Kepler
Kepler-144,b,Transit,2,5.88527300,0.066000,,,1,0,18h47m39.76s,+42d46m31.8s,281.915678,42.775513,487.00,11.992,Kepler-band,11.944,6075.00,,1.24,0,,,,,1.330,0.119,,0.0780000,0.3400,2014,3,389.22,,4.29,,,Kepler
Kepler-144,c,Transit,2,10.10466500,0.094000,,,1,0,18h47m39.76s,+42d46m31.8s,281.915678,42.775513,487.00,11.992,Kepler-band,11.944,6075.00,,1.24,0,,,,,1.350,0.120,,0.0949000,0.2500,2014,3,389.22,,4.29,,,Kepler
Kepler-145,b,Transit,2,22.95100000,,,,1,0,19h25m33.06s,+44d31m44.8s,291.387762,44.529106,577.00,11.931,Kepler-band,11.875,6022.00,1.28,1.98,0,,,37.10000,,2.650,0.236,,,,2013,3,576.15,,3.95,,,Kepler
